wavelength,luminosity
3001.7410097856755,1.5534987562487285e+38
3003.499076424034,1.776832313428802e+38
3005.2592036063106,1.7538424405767904e+38
3007.021394957225,1.5613928259868556e+38
3008.785654110001,1.7869714862400945e+38
3010.5519847063956,1.6564988366874623e+38
3012.3203903967224,1.444214043595208e+38
3014.090874839876,1.5897312310288146e+38
3015.8634417033595,1.7084734677256956e+38
3017.6380946633067,1.6550609897065781e+38
3019.414837404511,1.647469525792147e+38
3021.1936736204475,1.6643355722804573e+38
3022.974607013301,1.605439935323649e+38
3024.757641293991,1.5520942043924162e+38
3026.5427801821975,1.61386489071174e+38
3028.3300274063868,1.69152476451995e+38
3030.119386703836,1.4506883449608235e+38
3031.910861820662,1.6934421171315477e+38
3033.7044565118467,1.5539494371981775e+38
3035.5001745412596,1.644880809253468e+38
3037.2980196816907,1.6642017642193883e+38
3039.097995714872,1.717435356199186e+38
3040.9001064315034,1.6640702873852632e+38
3042.7043556312847,1.5626575004085768e+38
3044.510747122937,1.77070560326135e+38
3046.319284724232,1.7879095139919847e+38
3048.129972262017,1.733225799699744e+38
3049.9428135722455,1.7226591629222347e+38
3051.7578125,1.7138145638878996e+38
3053.574972899522,1.7175350506103923e+38
3055.3942986342386,1.6956354150173047e+38
3057.2157935767896,1.692657170637859e+38
3059.039461609055,1.6780903199197022e+38
3060.8653066221823,1.708642498357363e+38
3062.693332516615,1.698137148295504e+38
3064.5235432021204,1.7615255901329765e+38
3066.3559425978165,1.724223835010244e+38
3068.1905346322,1.9109340686706834e+38
3070.027323243177,1.793835211053648e+38
3071.8663123780852,1.709521898275228e+38
3073.7075059937297,1.8211077685054804e+38
3075.550908056405,1.8024950258208626e+38
3077.3965225419292,1.5874982985116838e+38
3079.2443534356667,1.8178106986302343e+38
3081.094404732561,1.9400018988098197e+38
3082.946680437162,1.919516078376977e+38
3084.8011845636547,1.8471491405696464e+38
3086.65792113589,1.881769397705164e+38
3088.5168941874113,1.8194022090745075e+38
3090.3781077614844,2.0676516603742036e+38
3092.241565911129,1.857537170942849e+38
3094.1072726991442,1.8539486261128095e+38
3095.9752321981423,1.8270848482278226e+38
3097.8454484905747,1.7454170218536745e+38
3099.7179256687637,1.9125522825199386e+38
3101.592667834933,1.854336972430179e+38
3103.4696791012348,1.7703791513224794e+38
3105.348963589783,1.7874338913785538e+38
3107.2305254326816,1.740710376173166e+38
3109.114368772055,1.8273880222507626e+38
3111.0004977600797,1.7454589135496246e+38
3112.8889165590126,1.8792292582977175e+38
3114.779629341224,1.88578179123797e+38
3116.672640289227,1.5925806300637876e+38
3118.567953595709,1.7915990086448405e+38
3120.4655734635603,1.7876679209964435e+38
3122.3655041059105,1.7286401534097804e+38
3124.267749746153,1.7833059979259194e+38
3126.1723146179816,1.877232415448893e+38
3128.0792029654185,1.7064625764274346e+38
3129.9884190428493,1.813595625451409e+38
3131.89996711505,1.662008418038769e+38
3133.8138514572233,1.750495191346245e+38
3135.7300763550274,1.6738303981596681e+38
3137.6486461046093,1.7026945843219285e+38
3139.5695650126368,1.7574038351722013e+38
3141.4928373963307,1.6751088358492546e+38
3143.4184675834967,1.7167991804279798e+38
3145.346459912559,1.681291311374082e+38
3147.2768187325914,1.670138331659593e+38
3149.2095484033507,1.7331181468897027e+38
3151.144653295309,1.8079913045703447e+38
3153.082137789689,1.6554443767926462e+38
3155.022006278494,1.7650651551638185e+38
3156.964263164541,1.7772347086986654e+38
3158.9089128614974,1.6160962085887343e+38
3160.855959793912,1.6866348520086153e+38
3162.8054083972484,1.63962504382526e+38
3164.7572631179187,1.6947313801239248e+38
3166.7115284133192,1.6981041326486482e+38
3168.6682087518616,1.808380938968508e+38
3170.627308613009,1.6079865197407305e+38
3172.5888324873094,1.5783875260563457e+38
3174.55278487643,1.6980655045249242e+38
3176.5191702931925,1.511336791288424e+38
3178.4879932616054,1.7155237528686817e+38
3180.4592583169006,1.6522918255226039e+38
3182.4329700055687,1.9085195891447003e+38
3184.409132885393,1.711394457687793e+38
3186.387751525483,1.6730898162722363e+38
3188.368830506313,1.7527618879948246e+38
3190.3523744197546,1.777792725464619e+38
3192.3383878691143,1.7607334014698047e+38
3194.3268754691667,1.7817455165205528e+38
3196.317841846193,1.7763353240181113e+38
3198.311291638015,1.8027010015011188e+38
3200.307229494031,1.72091732219699e+38
3202.305660075254,1.806266916983869e+38
