wavelength,luminosity
3001.7410097856755,2.5593440021817502e+39
3003.499076424034,2.4863731285369855e+39
3005.2592036063106,2.4616969283224166e+39
3007.021394957225,2.5513773699383088e+39
3008.785654110001,2.637720159393699e+39
3010.5519847063956,2.4772385072580117e+39
3012.3203903967224,2.2748074657315536e+39
3014.090874839876,2.38235283619788e+39
3015.8634417033595,2.4931875002297882e+39
3017.6380946633067,2.4795484348395455e+39
3019.414837404511,2.397130598884425e+39
3021.1936736204475,2.5616719872738068e+39
3022.974607013301,2.460096744831018e+39
3024.757641293991,2.5280196174599193e+39
3026.5427801821975,2.515532263004686e+39
3028.3300274063868,2.378746444057647e+39
3030.119386703836,2.6499818598002312e+39
3031.910861820662,2.3138869245796032e+39
3033.7044565118467,2.5028463342963447e+39
3035.5001745412596,2.3443455185096823e+39
3037.2980196816907,2.2061675098857767e+39
3039.097995714872,2.2315949917672142e+39
3040.9001064315034,2.1221679311169266e+39
3042.7043556312847,2.18343289213905e+39
3044.510747122937,1.9696432316454762e+39
3046.319284724232,2.0218332910370643e+39
3048.129972262017,1.9695858024990458e+39
3049.9428135722455,2.0673871185571335e+39
3051.7578125,1.8253102207146055e+39
3053.574972899522,1.9737343336146272e+39
3055.3942986342386,1.9235152485499972e+39
3057.2157935767896,1.855737347623156e+39
3059.039461609055,1.7891022710719115e+39
3060.8653066221823,1.6760774850251707e+39
3062.693332516615,1.5152950150797147e+39
3064.5235432021204,1.7434674869575703e+39
3066.3559425978165,1.6269853487673347e+39
3068.1905346322,1.6990488484360982e+39
3070.027323243177,1.7117141578447902e+39
3071.8663123780852,1.594390376762828e+39
3073.7075059937297,1.7085710934528186e+39
3075.550908056405,1.6757633195445026e+39
3077.3965225419292,1.5359292440880685e+39
3079.2443534356667,1.5847686491156484e+39
3081.094404732561,1.5783289348709634e+39
3082.946680437162,1.5945658909410826e+39
3084.8011845636547,1.556760184357789e+39
3086.65792113589,1.5505508080565454e+39
3088.5168941874113,1.519451102551286e+39
3090.3781077614844,1.606591328002653e+39
3092.241565911129,1.6932807523706973e+39
3094.1072726991442,1.5651391598510148e+39
3095.9752321981423,1.5098795029309444e+39
3097.8454484905747,1.76704521953918e+39
3099.7179256687637,1.5170860429826853e+39
3101.592667834933,1.4946209004259526e+39
3103.4696791012348,1.570650943073451e+39
3105.348963589783,1.5781920931689267e+39
3107.2305254326816,1.622841026364873e+39
3109.114368772055,1.7559454713812614e+39
3111.0004977600797,1.6825063176053786e+39
3112.8889165590126,1.6576864361323967e+39
3114.779629341224,1.7768937861082902e+39
3116.672640289227,1.8576429426502655e+39
3118.567953595709,1.8849192551885132e+39
3120.4655734635603,1.8177994714846908e+39
3122.3655041059105,1.847697592110188e+39
3124.267749746153,1.781895220316379e+39
3126.1723146179816,1.8137063207267414e+39
3128.0792029654185,1.883673996056191e+39
3129.9884190428493,1.9698776214221984e+39
3131.89996711505,1.777373752295931e+39
3133.8138514572233,1.7047863087140807e+39
3135.7300763550274,1.7905686710154217e+39
3137.6486461046093,1.830622615611128e+39
3139.5695650126368,1.5938890544153037e+39
3141.4928373963307,1.718811679509491e+39
3143.4184675834967,1.7891438750925728e+39
3145.346459912559,1.849948640581995e+39
3147.2768187325914,1.7277699480681235e+39
3149.2095484033507,1.57000422320594e+39
3151.144653295309,1.6382646200807742e+39
3153.082137789689,1.627968805580415e+39
3155.022006278494,1.4593754588783274e+39
3156.964263164541,1.703590452043768e+39
3158.9089128614974,1.617318855808436e+39
3160.855959793912,1.5408973864968007e+39
3162.8054083972484,1.468734895635896e+39
3164.7572631179187,1.554147464353288e+39
3166.7115284133192,1.535616674016171e+39
3168.6682087518616,1.4359588883863703e+39
3170.627308613009,1.433393048786011e+39
3172.5888324873094,1.4330124229637692e+39
3174.55278487643,1.3506442969745806e+39
3176.5191702931925,1.388223495136017e+39
3178.4879932616054,1.4775972791746134e+39
3180.4592583169006,1.3585294954238263e+39
3182.4329700055687,1.3287461704414038e+39
3184.409132885393,1.492513146302389e+39
3186.387751525483,1.3533603675160028e+39
