velocity,density,temperature,si,ca,si0,si1,si2,si3,ca0,ca1,ca2,ca3
13700.0,8.785600528632412e-14,12045.998038184682,0.5,0.0,5.972389776644028e-13,9.35760954581865e-05,0.9938265151220975,0.006079908626846618,,,,
13800.0,7.861790244450754e-14,11428.235864490178,0.5,0.0,1.99698165294338e-12,0.00021723867166105443,0.9986914396724166,0.0010913216512383045,,,,
14050.0,7.035119073113851e-14,10752.926055236945,0.050890585241730284,0.0005089058524173028,8.68568449213294e-12,0.0005951668338110942,0.9992702107161967,0.00013462244128717034,4.160913651885354e-15,3.343510189222123e-06,0.9999966564875139,2.2926853721256986e-12
14300.0,6.295372788383007e-14,10680.626102605036,0.050890585241730284,0.0005089058524173028,1.0607362758988854e-11,0.0007019229673156175,0.999197487830637,0.0001005891914301985,4.757562074638596e-15,3.7541247854960638e-06,0.9999962458737038,1.5058836700687698e-12
14550.0,5.633411195010759e-14,10669.425888722926,0.050890585241730284,0.0005089058524173028,1.1232885710247142e-11,0.0007533640917117365,0.9991549146913472,9.172120569995288e-05,4.958334797217264e-15,3.950500445745815e-06,0.9999960494982049,1.3444144479470995e-12
14800.0,5.04105519384562e-14,10598.825784522198,0.050890585241730284,0.0005089058524173028,1.3143500120939758e-11,0.0008641604323603681,0.999065295052484,7.054450200774797e-05,5.444508321548475e-15,4.323112481133594e-06,0.9999956768866033,9.100610120435757e-13
15050.0,4.5109857220975285e-14,10503.67911172341,0.050890585241730284,0.0005089058524173028,1.6057001637071574e-11,0.0010200515286219818,0.998929567501187,5.038095413210023e-05,6.118135360840161e-15,4.811465882530601e-06,0.9999951885335654,5.459922060924012e-13
15300.0,4.0366533200848204e-14,10482.73594711532,0.050890585241730284,0.0005089058524173028,1.6552521558615232e-11,0.0010762578158320015,0.9988778440620937,4.5898105520197174e-05,6.164576685549487e-15,4.96199803871705e-06,0.999995038001477,4.780876544025986e-13
15550.0,3.6121972070829574e-14,10400.67518081281,0.050890585241730284,0.0005089058524173028,1.9350263518520228e-11,0.0012341356648670166,0.998731434488292,3.442982748991698e-05,6.700014214701953e-15,5.3994798340428565e-06,0.9999946005198516,3.076068858798218e-13
15800.0,3.23237286638818e-14,10350.529028901365,0.050890585241730284,0.0005089058524173028,2.125684818636941e-11,0.0013580789872221198,0.9986134443459536,2.8476645567011493e-05,7.0213279949119186e-15,5.721567502905537e-06,0.9999942784322587,2.3126472900378193e-13
16050.0,2.892487244847865e-14,10193.398374112305,0.050890585241730284,0.0005089058524173028,2.824655848816167e-11,0.0016953853820510538,0.9982876447817153,1.696980798690501e-05,8.147799759801758e-15,6.541305976980426e-06,0.999993458693913,1.0187438387527736e-13
16300.0,2.5883407661926743e-14,10139.649248040667,0.050890585241730284,0.0005089058524173028,3.028505176891312e-11,0.0018365205575438543,0.9981493688552208,1.411055695015728e-05,8.310569104911795e-15,6.820360844078079e-06,0.9999931796390714,7.618038571661619e-14
16550.0,2.316175441695767e-14,10048.202361783595,0.050890585241730284,0.0005089058524173028,3.590387788775361e-11,0.002125517869769296,0.9978642926368102,1.0189457516646352e-05,9.069710883905628e-15,7.444821700481247e-06,0.9999925551782446,4.583571735893857e-14
16800.0,2.0726284370221296e-14,9988.677580282592,0.050890585241730284,0.0005089058524173028,3.876414137097613e-11,0.0023131830417687494,0.997678504466895,8.312452572145056e-06,9.26513820705778e-15,7.773838185367334e-06,0.9999922261617723,3.313796158356504e-14
17050.0,1.8546905215468798e-14,9877.013502404203,0.050890585241730284,0.0005089058524173028,4.7645906412300144e-11,0.0027415158422731878,0.9972528870148131,5.597095267810692e-06,1.0291947298614113e-14,8.598480223857353e-06,0.9999914015197481,1.7735408895687198e-14
17300.0,1.659668886748517e-14,9791.218765577349,0.050890585241730284,0.0005089058524173028,5.5143495565583236e-11,0.003122878197122007,0.9968730065900382,4.1151576961452465e-06,1.1001099500106431e-14,9.25880649353067e-06,0.9999907411934845,1.0890629502441006e-14
17550.0,1.4851538742666926e-14,9669.618240383174,0.050890585241730284,0.0005089058524173028,6.961933869943104e-11,0.003766763838762771,0.9962305952042616,2.6408873562234527e-06,1.2410252734101852e-14,1.0352615582893237e-05,0.9999896473843993,5.387947867717082e-15
17800.0,1.328989202521324e-14,9561.362668868025,0.050890585241730284,0.0005089058524173028,8.271782134718633e-11,0.00436627872934966,0.9956319170363491,1.8041515834713449e-06,1.3320087970848712e-14,1.1216885832141046e-05,0.9999887831141517,2.903974400956337e-15
18050.0,1.1892453240175879e-14,9456.460903247458,0.050890585241730284,0.0005089058524173028,1.0444619283259677e-10,0.005265105081723061,0.9947337090888198,1.1857250109613903e-06,1.5204291427886607e-14,1.25993912756834e-05,0.9999874006087077,1.508985659385284e-15
18300.0,1.0641955841435824e-14,9347.088421791832,0.050890585241730284,0.0005089058524173028,1.292457392037512e-10,0.006266395207843825,0.9937328269101937,7.777527168230795e-07,1.692022147539696e-14,1.3954109580769177e-05,0.9999860458904016,7.706798788054659e-16
18550.0,9.522948868823592e-15,9202.895252000373,0.050890585241730284,0.0005089058524173028,1.8357103706733435e-10,0.00816184675417601,0.9918377265124384,4.265498144829466e-07,2.0849466699892165e-14,1.651770688734085e-05,0.9999834822930913,3.0134431147598286e-16
18800.0,8.521606038349507e-15,8930.806692708393,0.050890585241730284,0.0005089058524173028,3.697514205761444e-10,0.01336450407256594,0.9866353616661816,1.3389150101184436e-07,3.1882596415065096e-14,2.275974599080435e-05,0.9999772402539774,4.860241043941312e-17
19050.0,7.625554906691999e-15,8712.716327116537,0.010000000000000002,0.0005000000000000001,6.713564885311923e-10,0.020334139161000037,0.9796658103658187,4.980182479189925e-08,4.5992918494917195e-14,2.998064180193326e-05,0.9999700193581521,1.0312518980427994e-17
19300.0,6.82372399912506e-15,8671.765066182426,0.010000000000000002,0.0005000000000000001,6.899258713522133e-10,0.021417853776145693,0.9785821031948856,4.2339042938118046e-08,4.5231771442788955e-14,3.0516644856405735e-05,0.9999694833550984,7.860691956255904e-18
19550.0,6.1062060120205104e-15,8649.928783202791,0.010000000000000002,0.0005000000000000001,6.64204793964705e-10,0.021619078334655723,0.978380881458112,3.9543027489220387e-08,4.2525168959459664e-14,3.0133489333985476e-05,0.9999698665106235,6.9197675842652996e-18
19800.0,5.464135399675648e-15,8616.310114558813,0.010000000000000002,0.0005000000000000001,6.612277856379208e-10,0.022305424194913423,0.9776945401708372,3.4973021545450276e-08,4.080909225167864e-14,3.0189417057246572e-05,0.9999698105829019,5.587267843296259e-18
